gisjoin_1790,cnty_area_1790,gisjoin_1990,cnty_area_1990,cnty_part_area,cnty_part_pop_m2,cnty_part_pop_m3,cnty_part_pop_m4,cnty_pop_m2,cnty_pop_m3,cnty_pop_m4,m1_weight,m2_weight,m3_weight,m4_weight
G0900010,1673889466.31,G0900010,1673889466.31,1673889465.48,36290.004,36290,36290,36290.004,36290,36290,1,1,1,1
G0900010,1673889466.31,G0900010,1673889466.31,.30969523135,0,0,0,36290.004,36290,36290,1.8501534e-10,0,0,0
G0900010,1673889466.31,G0900010,1673889466.31,.332542307042,0,0,0,36290.004,36290,36290,1.9866443e-10,0,0,0
G0900010,1673889466.31,G0900090,1603794383.32,.332542307042,0,0,0,36290.004,36290,36290,1.9866443e-10,0,0,0
G0900010,1673889466.31,G0900090,1603794383.32,.30969523135,0,0,0,36290.004,36290,36290,1.8501534e-10,0,0,0
G0900030,1858417905.74,G0900030,1943959499.02,1794225972.32,36883.727,36926.711,37378.879,38149,38148.996,38149,.96545881,.96683335,.96796024,.9798128
G0900030,1858417905.74,G0900030,1943959499.02,2.26295730829,0,0,0,38149,38148.996,38149,1.2176795e-09,0,0,0
G0900030,1858417905.74,G0900090,1603794383.32,28432670.8429,536.78271,552,157.77727,38149,38148.996,38149,.015299396,.014070689,.014469582,.0041358168
G0900030,1858417905.74,G0900130,1080049965.92,17511781.5212,364.24539,335.14285,329.74854,38149,38148.996,38149,.0094229514,.0095479665,.0087851025,.0086437007
G0900030,1858417905.74,G2500130,1642345438.34,18247478.7894,364.24539,335.14285,282.59424,38149,38148.996,38149,.009818824,.0095479665,.0087851025,.0074076448
G0900050,2656160553.17,G0900030,1943959499.02,100331420.019,1496.0168,1468.1001,1039.6637,38634.996,38635,38635,.037773103,.038721807,.037999228,.026909893
G0900050,2656160553.17,G0900050,2446415671.7,2446415671.76,35541.293,35548.992,34059.887,38634.996,38635,38635,.92103457,.91992486,.92012405,.88158113
