gisjoin_1820,cnty_area_1820,gisjoin_1990,cnty_area_1990,cnty_part_area,cnty_part_pop_m2,cnty_part_pop_m3,cnty_part_pop_m4,cnty_part_pop_m5,cnty_part_pop_m6,cnty_pop_m2,cnty_pop_m3,cnty_pop_m4,cnty_pop_m5,cnty_pop_m6,m1_weight,m2_weight,m3_weight,m4_weight,m5_weight,m6_weight
G0100010,2132799313.02,G0100010,1565529772.77,1343671881.86,2428.9082,2439.0898,2460.7832,1,1,3853.0002,3852.9998,3853,5,5,.63000387,.63039398,.63303661,.63866681,.2,.2
G0100010,2132799313.02,G0100210,1814971185.03,348650136.947,636.14258,647.8833,583.55908,0,0,3853.0002,3852.9998,3853,5,5,.16347067,.16510318,.16815037,.15145577,0,0
G0100010,2132799313.02,G0100510,1702196113.47,431166625.186,771.68439,752.68793,793.177,4,4,3853.0002,3852.9998,3853,5,5,.20215996,.20028143,.19535115,.20585959,.80000001,.80000001
G0100010,2132799313.02,G0100510,1702196113.47,.35248832006,0,0,0,0,0,3853.0002,3852.9998,3853,5,5,1.6527027e-10,0,0,0,0,0
G0100010,2132799313.02,G0100510,1702196113.47,.0550825530423,0,0,0,0,0,3853.0002,3852.9998,3853,5,5,2.5826412e-11,0,0,0,0,0
G0100010,2132799313.02,G0101010,2071394565.39,.35248832006,0,0,0,0,0,3853.0002,3852.9998,3853,5,5,1.6527027e-10,0,0,0,0,0
G0100010,2132799313.02,G0101010,2071394565.39,9310661.86451,16.265011,13.338774,15.480657,0,0,3853.0002,3852.9998,3853,5,5,.0043654656,.0042213886,.0034619193,.0040178192,0,0
G0100010,2132799313.02,G0101010,2071394565.39,.108730682298,0,0,0,0,0,3853.0002,3852.9998,3853,5,5,5.0980269e-11,0,0,0,0,0
G0100010,2132799313.02,G0101010,2071394565.39,.0550825530423,0,0,0,0,0,3853.0002,3852.9998,3853,5,5,2.5826412e-11,0,0,0,0,0
G0100030,4254901337.26,G0100030,4232265763.35,917405252.284,369.34424,331.82639,338.33392,1,1,1713,1712.9999,1713.0001,1,1,.2156114,.21561252,.19371068,.19750957,1,1
G0100030,4254901337.26,G0100250,3244024782.63,271201301.364,110.76299,105.15018,112.33447,0,0,1713,1712.9999,1713.0001,1,1,.063738562,.064660244,.06138365,.065577619,0,0
G0100030,4254901337.26,G0100530,2468176988.57,767430511.071,308.52527,330.10263,308.67328,0,0,1713,1712.9999,1713.0001,1,1,.18036388,.18010816,.19270441,.18019454,0,0
G0100030,4254901337.26,G0100970,3251206069.42,724636946.8609999,292.01154,291.74866,291.32602,0,0,1713,1712.9999,1713.0001,1,1,.1703064,.17046791,.17031446,.17006771,0,0
G0100030,4254901337.26,G0100970,3251206069.42,.651862444813,0,0,0,0,0,1713,1712.9999,1713.0001,1,1,1.5320271e-10,0,0,0,0,0
G0100030,4254901337.26,G0101290,2819355292.9,.028332322606,0,0,0,0,0,1713,1712.9999,1713.0001,1,1,6.6587495e-12,0,0,0,0,0
G0100030,4254901337.26,G0101290,2819355292.9,1574227334.63,632.35596,654.17206,662.3324,0,0,1713,1712.9999,1713.0001,1,1,.36997974,.36915118,.38188681,.38665053,0,0
G0100030,4254901337.26,G0101290,2819355292.9,.651862444813,0,0,0,0,0,1713,1712.9999,1713.0001,1,1,1.5320271e-10,0,0,0,0,0
G0100090,4446558616.86,G0100090,1685071135.65,.609745742593,0,0,0,0,0,2415.0002,2415,2415,0,0,1.3712756e-10,0,0,0,,
G0100090,4446558616.86,G0100090,1685071135.65,1533617763.62,830.547,842.71136,844.01666,0,0,2415.0002,2415,2415,0,0,.34489992,.34391177,.34894881,.3494893,,
G0100090,4446558616.86,G0100430,1954996982.88,1794428092.77,973.50104,973.50549,989.85272,0,0,2415.0002,2415,2415,0,0,.40355435,.40310597,.40310785,.40987691,,
G0100090,4446558616.86,G0100550,1421280067.1,.118399954639,0,0,0,0,0,2415.0002,2415,2415,0,0,2.6627324e-11,0,0,0,,
G0100090,4446558616.86,G0100550,1421280067.1,247902849.343,134.25726,136.31285,118.78513,0,0,2415.0002,2415,2415,0,0,.055751622,.055593062,.056444246,.04918639,,
G0100090,4446558616.86,G0100730,2910681662.58,.609745742593,0,0,0,0,0,2415.0002,2415,2415,0,0,1.3712756e-10,0,0,0,,
G0100090,4446558616.86,G0100790,1859801692.72,.0633867404126,0,0,0,0,0,2415.0002,2415,2415,0,0,1.4255236e-11,0,0,0,,
G0100090,4446558616.86,G0100950,1614161926.26,219646974.997,120.12492,121.96413,111.24122,0,0,2415.0002,2415,2415,0,0,.04939707,.049741164,.050502744,.046062615,,
G0100090,4446558616.86,G0101150,1692864873.74,9620000.38497,5.9790688,6.0706124,5.0315647,0,0,2415.0002,2415,2415,0,0,.002163471,.0024758046,.0025137111,.0020834636,,
G0100090,4446558616.86,G0101150,1692864873.74,.0142770357663,0,0,0,0,0,2415.0002,2415,2415,0,0,3.2108058e-12,0,0,0,,
G0100090,4446558616.86,G0101150,1692864873.74,.118399954639,0,0,0,0,0,2415.0002,2415,2415,0,0,2.6627324e-11,0,0,0,,
G0100090,4446558616.86,G0101270,2085727475.87,.139615619649,0,0,0,0,0,2415.0002,2415,2415,0,0,3.1398578e-11,0,0,0,,
G0100090,4446558616.86,G0101330,1636510933.64,641342930.502,350.59085,334.43555,346.07266,0,0,2415.0002,2415,2415,0,0,.14423355,.14517218,.13848263,.14330131,,
G0100090,4446558616.86,G0101330,1636510933.64,.139615619649,0,0,0,0,0,2415.0002,2415,2415,0,0,3.1398578e-11,0,0,0,,
G0100090,4446558616.86,G0101330,1636510933.64,.0633867404126,0,0,0,0,0,2415.0002,2415,2415,0,0,1.4255236e-11,0,0,0,,
G0100130,2786716770.96,G0100130,2014835521.97,2014835516.98,1017.2745,1017.326,1021.0613,1,1,1404.9999,1405,1405,1,1,.72301412,.72403884,.72407544,.72673398,1,1
G0100130,2786716770.96,G0100130,2014835521.97,3.71829631831,0,0,0,0,0,1404.9999,1405,1405,1,1,1.3342929e-09,0,0,0,0,0
G0100130,2786716770.96,G0100130,2014835521.97,.8815393749,0,0,0,0,0,1404.9999,1405,1405,1,1,3.1633618e-10,0,0,0,0,0
G0100130,2786716770.96,G0100130,2014835521.97,.197359351331,0,0,0,0,0,1404.9999,1405,1405,1,1,7.0821460e-11,0,0,0,0,0
G0100130,2786716770.96,G0100350,2208016289.69,27990966.9655,13.630974,13.754533,14.49055,0,0,1404.9999,1405,1405,1,1,.010044425,.0097017614,.0097897034,.010313558,0,0
G0100130,2786716770.96,G0100350,2208016289.69,.197359351331,0,0,0,0,0,1404.9999,1405,1405,1,1,7.0821460e-11,0,0,0,0,0
G0100130,2786716770.96,G0100410,1582181145.37,.8815393749,0,0,0,0,0,1404.9999,1405,1405,1,1,3.1633618e-10,0,0,0,0,0
