gisjoin_1800,cnty_area_1800,gisjoin_1990,cnty_area_1990,cnty_part_area,cnty_part_pop_m2,cnty_part_pop_m3,cnty_part_pop_m4,cnty_pop_m2,cnty_pop_m3,cnty_pop_m4,m1_weight,m2_weight,m3_weight,m4_weight
G0900010,1673889466.31,G0900010,1673889466.31,1673889408,38208,38208,38208,38208,38208,38208,.99999994,1,1,1
G0900010,1673889466.31,G0900010,1673889466.31,.3325423,0,0,0,38208,38208,38208,1.9866443e-10,0,0,0
G0900010,1673889466.31,G0900010,1673889466.31,.30969524,0,0,0,38208,38208,38208,1.8501535e-10,0,0,0
G0900010,1673889466.31,G0900090,1603794383.32,.3325423,0,0,0,38208,38208,38208,1.9866443e-10,0,0,0
G0900010,1673889466.31,G0900090,1603794383.32,.30969524,0,0,0,38208,38208,38208,1.8501535e-10,0,0,0
G0900030,1922173335.76,G0900030,1943959499.02,1886414080,41380.57,41440.586,41484.219,42147,42146.996,42147,.98139644,.98181534,.98323935,.98427451
G0900030,1922173335.76,G0900030,1943959499.02,2.2629573,0,0,0,42147,42146.996,42147,1.1772909e-09,0,0,0
G0900030,1922173335.76,G0900130,1080049965.92,17511782,383.21463,353.20493,356.91006,42147,42146.996,42147,.009110407,.0090923347,.0083803106,.00846822
G0900030,1922173335.76,G2500130,1642345438.34,18247478,383.21463,353.20493,305.87164,42147,42146.996,42147,.0094931489,.0090923347,.0083803106,.0072572576
G0900050,2566856340.26,G0900030,1943959499.02,11027207,192.51382,198.38266,194.43706,41214,41214,41214,.0042959969,.0046710782,.0048134774,.004717743
G0900050,2566856340.26,G0900050,2446415671.7,2446415616,39256.777,39230.172,37162.102,41214,41214,41214,.95307851,.95251071,.9518652,.90168637
G0900050,2566856340.26,G0900090,1603794383.32,109413464,1764.71,1785.444,3857.4626,41214,41214,41214,.042625472,.042818215,.043321297,.093595929
G0900070,992406269.326,G0900070,992406269.326,992406272,19847.002,19846.998,19847,19847.002,19846.998,19847,1,1,1,1
G0900090,1494380916.75,G0900010,1673889466.31,.30969524,0,0,0,32161.998,32162.002,32161.998,2.0723982e-10,0,0,0
G0900090,1494380916.75,G0900090,1603794383.32,1494380928,32161.998,32162.002,32161.998,32161.998,32162.002,32161.998,1,1,1,1
G0900090,1494380916.75,G0900090,1603794383.32,.30969524,0,0,0,32161.998,32162.002,32161.998,2.0723982e-10,0,0,0
G0900110,1557319128.1,G0900030,1943959499.02,35125064,672.69232,685.54346,415.90158,34883,34883,34883,.022554828,.019284245,.019652652,.011922758
G0900110,1557319128.1,G0900110,1781000477.67,1522194048,34210.309,34197.457,34467.098,34883,34883,34883,.97744519,.98071575,.98034734,.98807722
G0900130,893103845.358,G0900030,1943959499.02,2.2629573,0,0,0,14319,14319,14318.999,2.5338120e-09,0,0,0
