gisjoin_1830,cnty_area_1830,gisjoin_1990,cnty_area_1990,cnty_part_area,cnty_part_pop_m2,cnty_part_pop_m3,cnty_part_pop_m4,cnty_part_pop_m5,cnty_part_pop_m6,cnty_pop_m2,cnty_pop_m3,cnty_pop_m4,cnty_pop_m5,cnty_pop_m6,m1_weight,m2_weight,m3_weight,m4_weight,m5_weight,m6_weight
G0100010,2562934186.65,G0100010,1565529772.77,1565529771.6,7254.272,7267.1206,7401.9087,7,7,11874,11873.999,11874,12,12,.61083496,.61093754,.61201966,.62337112,.58333331,.58333331
G0100010,2562934186.65,G0100210,1814971185.03,556927123.272,2597.4375,2655.3875,2382.9509,0,0,11874,11873.999,11874,12,12,.21730059,.21875,.22363043,.20068645,0,0
G0100010,2562934186.65,G0100510,1702196113.47,.0525352851182,0,0,0,0,0,11874,11873.999,11874,12,12,2.0498101e-11,0,0,0,0,0
G0100010,2562934186.65,G0100510,1702196113.47,431166625.187,1980.5461,1917.5101,2049.1462,5,5,11874,11873.999,11874,12,12,.16823164,.16679688,.16148815,.17257422,.41666666,.41666666
G0100010,2562934186.65,G0100510,1702196113.47,.315022620275,0,0,0,0,0,11874,11873.999,11874,12,12,1.2291483e-10,0,0,0,0,0
G0100010,2562934186.65,G0101010,2071394565.39,9310661.90958,41.744534,33.981194,39.993759,0,0,11874,11873.999,11874,12,12,.0036328135,.0035156251,.0028618155,.0033681791,0,0
G0100010,2562934186.65,G0101010,2071394565.39,.315022620275,0,0,0,0,0,11874,11873.999,11874,12,12,1.2291483e-10,0,0,0,0,0
G0100010,2562934186.65,G0101010,2071394565.39,.0525352851182,0,0,0,0,0,11874,11873.999,11874,12,12,2.0498101e-11,0,0,0,0,0
G0100030,4807470153.27,G0100030,4232265763.35,4040039641,1952.819,1918.9525,1949.3699,3,3,2324,2324,2324,3,3,.84036708,.84028357,.82571107,.83879942,1,1
G0100030,4807470153.27,G0100530,2468176988.57,767430511.071,371.18097,405.04758,374.63004,0,0,2324,2324,2324,3,3,.15963292,.15971643,.17428897,.16120054,0,0
G0100070,2249941672.03,G0100070,1621774444.63,.212694208394,0,0,0,0,0,6305.9995,6306,6305.9995,2,2,9.4533208e-11,0,0,0,0,0
G0100070,2249941672.03,G0100070,1621774444.63,1473622945.01,4144.4214,4126.0786,4200.7993,2,2,6305.9995,6306,6305.9995,2,2,.65496051,.65721881,.65430999,.66615915,1,1
G0100070,2249941672.03,G0100210,1814971185.03,608195975.385,1700.7767,1715.2096,1674.6763,0,0,6305.9995,6306,6305.9995,2,2,.27031633,.26970771,.27199644,.26556873,0,0
G0100070,2249941672.03,G0100730,2910681662.58,3424870.98381,11.170947,11.265744,10.67272,0,0,6305.9995,6306,6305.9995,2,2,.0015222044,.0017714793,.001786512,.0016924707,0,0
G0100070,2249941672.03,G0101170,2096689743.97,164697882.026,449.63062,453.4462,419.85144,0,0,6305.9995,6306,6305.9995,2,2,.073200956,.071302041,.071907103,.066579685,0,0
G0100070,2249941672.03,G0101170,2096689743.97,.212694208394,0,0,0,0,0,6305.9995,6306,6305.9995,2,2,9.4533208e-11,0,0,0,0,0
G0100090,2937297579,G0100090,1685071135.65,1533617763.62,2203.0054,2202.314,2236.5874,0,0,4233,4233.0005,4233,0,0,.52211863,.52043593,.52027255,.52836931,,
G0100090,2937297579,G0100090,1685071135.65,.609745742593,0,0,0,0,0,4233,4233.0005,4233,0,0,2.0758732e-10,0,0,0,,
G0100090,2937297579,G0100430,1954996982.88,926509988.7539999,1339.3927,1339.8491,1373.5249,0,0,4233,4233.0005,4233,0,0,.31542939,.31641689,.31652468,.32448027,,
G0100090,2937297579,G0100550,1421280067.1,247902849.343,356.11407,356.23547,314.77261,0,0,4233,4233.0005,4233,0,0,.084398277,.084128059,.084156729,.074361593,,
G0100090,2937297579,G0100550,1421280067.1,.118399954639,0,0,0,0,0,4233,4233.0005,4233,0,0,4.0309145e-11,0,0,0,,
G0100090,2937297579,G0100730,2910681662.58,.609745742593,0,0,0,0,0,4233,4233.0005,4233,0,0,2.0758732e-10,0,0,0,,
