gisjoin_1810,cnty_area_1810,gisjoin_1990,cnty_area_1990,cnty_part_area,cnty_part_pop_m2,cnty_part_pop_m3,cnty_part_pop_m4,cnty_part_pop_m5,cnty_part_pop_m6,cnty_pop_m2,cnty_pop_m3,cnty_pop_m4,cnty_pop_m5,cnty_pop_m6,m1_weight,m2_weight,m3_weight,m4_weight,m5_weight,m6_weight
G0900010,1673889466.31,G0900010,1673889466.31,1673889465.8,40949.996,40950.004,40950,196,206,40949.996,40950.004,40950,196,206,1,1,1,1,1,1
G0900030,1943959499.02,G0900030,1943959499.02,1943959499.51,44732.996,44733,44733,137,143,44732.996,44733,44733,137,143,1,1,1,1,1,1
G0900050,2446415671.7,G0900050,2446415671.7,2446415671.76,41375,41375,41375,155,159,41375,41375,41375,155,159,1,1,1,1,1,1
G0900070,992406269.326,G0900070,992406269.326,992406271.211,20723.002,20723,20723,115,129,20723.002,20723,20723,115,129,1,1,1,1,1,1
G0900090,1603794383.32,G0900090,1603794383.32,1603794385.34,37064,37064,37064,136,152,37064,37064,37064,136,152,1,1,1,1,1,1
G0900110,1522194065.64,G0900110,1781000477.67,1522194065.64,34707,34707.004,34707,87,92,34707,34707.004,34707,87,92,1,1,1,1,1,1
G0900130,899222469.114,G0900130,1080049965.92,899222470.821,13778.999,13779,13778.999,63,67,13778.999,13779,13778.999,63,67,1,1,1,1,1,1
G0900150,1790216082.13,G0900110,1781000477.67,258806412.033,4121.5181,4050.4011,4310.8218,10,10,28611.002,28611,28611,93,96,.14456713,.14405361,.14156796,.15067008,.10752688,.10416666
G0900150,1790216082.13,G0900130,1080049965.92,180827495.152,3003.2766,2985.3555,2966.0039,10,10,28611.002,28611,28611,93,96,.10100875,.10496929,.10434293,.10366656,.10752688,.10416666
G0900150,1790216082.13,G0900150,1350582176.47,1350582176.42,21486.207,21575.244,21334.174,73,76,28611.002,28611,28611,93,96,.7544241,.7509771,.75408912,.74566334,.78494626,.79166669
G1000010,1525633963.44,G1000010,1548770811.41,1525633963.44,20495,20495,20495,6,6,20495,20495,20495,6,6,1,1,1,1,1,1
G1000030,1144705776.61,G1000010,1548770811.41,23099467.4732,509.37964,0,0,0,0,24428.998,24429,24429,17,19,.020179393,.020851433,0,0,0,0
G1000030,1144705776.61,G1000030,1121606309.14,1121606309.14,23919.619,24429,24429,17,19,24428.998,24429,24429,17,19,.97982061,.97914857,1,1,1,1
G1000050,2461099202.75,G1000010,1548770811.41,37380.4992104,0,0,0,0,0,27749.998,27750,27750,2,2,.000015188538,0,0,0,0,0
G1000050,2461099202.75,G1000050,2461061822.25,2461061822.25,27749.998,27750,27750,2,2,27749.998,27750,27750,2,2,.9999848,1,1,1,1,1
