gisjoin_1790,cnty_area_1790,gisjoin_2020,cnty_area_2020,cnty_part_area,cnty_part_pop_m2,cnty_part_pop_m3,cnty_part_pop_m4,cnty_pop_m2,cnty_pop_m3,cnty_pop_m4,m1_weight,m2_weight,m3_weight,m4_weight
G0900010,1673889466.31,9001,2167945188.69,1673778944,36290.004,36290,36290,36290.004,36290,36290,.99993396,1,1,1
G0900010,1673889466.31,9001,2167945188.69,.31047878,0,0,0,36290.004,36290,36290,1.8548343e-10,0,0,0
G0900010,1673889466.31,9005,2446473536.04,9098.2842,0,0,0,36290.004,36290,36290,5.4354150e-06,0,0,0
G0900010,1673889466.31,9009,2232747846.59,17576.041,0,0,0,36290.004,36290,36290,.000010500121,0,0,0
G0900010,1673889466.31,9009,2232747846.59,.38832486,0,0,0,36290.004,36290,36290,2.3198955e-10,0,0,0
G0900010,1673889466.31,36027,2137634705.04,1145.4797,0,0,0,36290.004,36290,36290,6.8432223e-07,0,0,0
G0900010,1673889466.31,36079,637450333.517,10484.906,0,0,0,36290.004,36290,36290,6.2637982e-06,0,0,0
G0900010,1673889466.31,36119,1295206187.06,72183.641,0,0,0,36290.004,36290,36290,.000043123302,0,0,0
G0900030,1858417905.74,9003,1944087722.5,1794026368,36864.555,36907,37366.379,38149,38149,38149,.9653514,.96633083,.96744347,.97948515
G0900030,1858417905.74,9003,1944087722.5,2.2047429,0,0,0,38149,38149,38149,1.1863548e-09,0,0,0
G0900030,1858417905.74,9005,2446473536.04,33922.59,0,0,0,38149,38149,38149,.000018253479,0,0,0
G0900030,1858417905.74,9007,1137173043.29,7947.1865,0,0,0,38149,38149,38149,4.2763181e-06,0,0,0
G0900030,1858417905.74,9009,2232747846.59,28525556,536.78271,552,157.77727,38149,38149,38149,.015349376,.014070689,.01446958,.0041358168
G0900030,1858417905.74,9013,1080357182.73,17551938,364.24539,335.14285,329.74854,38149,38149,38149,.009444559,.0095479665,.0087851016,.0086437007
G0900030,1858417905.74,9013,1080357182.73,.026784457,0,0,0,38149,38149,38149,1.4412505e-11,0,0,0
G0900030,1858417905.74,25013,1642446420.35,18272162,383.4162,354.85712,295.09351,38149,38149,38149,.0098321065,.010050491,.009301872,.0077352882
G0900050,2656160553.17,9001,2167945188.69,28036.568,14.524435,14.980613,54.491623,38634.996,38635,38635,.000010555299,.00037593985,.00038774719,.0014104212
G0900050,2656160553.17,9003,1944087722.5,100233944,1496.0168,1468.1001,1039.6637,38634.996,38635,38635,.037736401,.038721807,.037999228,.026909893
G0900050,2656160553.17,9005,2446473536.04,2446198272,35541.293,35548.992,34059.887,38634.996,38635,38635,.92095274,.91992486,.92012405,.88158113
G0900050,2656160553.17,9005,2446473536.04,.15442671,0,0,0,38634.996,38635,38635,5.8139073e-11,0,0,0
G0900050,2656160553.17,9009,2232747846.59,109465200,1583.1635,1602.9255,3480.958,38634.996,38635,38635,.041211817,.040977444,.041488949,.090098567
G0900050,2656160553.17,9009,2232747846.59,.015774347,0,0,0,38634.996,38635,38635,5.9387777e-12,0,0,0
G0900050,2656160553.17,25003,2451293994.51,58955.375,0,0,0,38634.996,38635,38635,.000022195713,0,0,0
G0900050,2656160553.17,25013,1642446420.35,174995.3,0,0,0,38634.996,38635,38635,.000065882799,0,0,0
G0900050,2656160553.17,36027,2137634705.04,1094.6316,0,0,0,38634.996,38635,38635,4.1211047e-07,0,0,0
G0900070,932500428.697,9003,1944087722.5,36779.359,0,0,0,18828,18828,18828,.000039441653,0,0,0
G0900070,932500428.697,9007,1137173043.29,932255424,18828,18828,18828,18828,18828,18828,.99973726,1,1,1
G0900070,932500428.697,9009,2232747846.59,203113.98,0,0,0,18828,18828,18828,.0002178165,0,0,0
G0900070,932500428.697,9011,1999374588.73,5129.0615,0,0,0,18828,18828,18828,5.5003316e-06,0,0,0
G0900090,1528737988.55,9001,2167945188.69,.31047878,0,0,0,30703.002,30703,30703,2.0309483e-10,0,0,0
G0900090,1528737988.55,9001,2167945188.69,55028.52,0,0,0,30703.002,30703,30703,.000035996043,0,0,0
G0900090,1528737988.55,9003,1944087722.5,2894897.8,34.585754,35.450981,24.486336,30703.002,30703,30703,.001893652,.0011264617,.0011546422,.0007975226
G0900090,1528737988.55,9005,2446473536.04,68489.508,0,0,0,30703.002,30703,30703,.000044801338,0,0,0
G0900090,1528737988.55,9005,2446473536.04,.15442671,0,0,0,30703.002,30703,30703,1.0101581e-10,0,0,0
G0900090,1528737988.55,9007,1137173043.29,59996780,1020.2798,992.62744,831.54303,30703.002,30703,30703,.039245952,.033230621,.03232998,.027083445
G0900090,1528737988.55,9009,2232747846.59,.38832486,0,0,0,30703.002,30703,30703,2.5401661e-10,0,0,0
G0900090,1528737988.55,9009,2232747846.59,1465722752,29648.137,29674.922,29846.971,30703.002,30703,30703,.95877957,.96564293,.96651536,.97211903
G0900090,1528737988.55,9009,2232747846.59,.015774347,0,0,0,30703.002,30703,30703,1.0318542e-11,0,0,0
G0900110,1557319128.1,9003,1944087722.5,35125208,739.01868,753.02618,455.89117,32918.004,32918,32918,.022554919,.022450289,.022875817,.013849298
G0900110,1557319128.1,9007,1137173043.29,137180.75,0,0,0,32918.004,32918,32918,.000088087756,0,0,0
G0900110,1557319128.1,9011,1999374588.73,1521812224,32178.984,32164.975,32462.107,32918.004,32918,32918,.97719997,.97754967,.97712421,.98615068
G0900110,1557319128.1,9013,1080357182.73,121243.8,0,0,0,32918.004,32918,32918,.000077854173,0,0,0
G0900110,1557319128.1,9015,1349956508.73,9012.5723,0,0,0,32918.004,32918,32918,5.7872353e-06,0,0,0
G0900110,1557319128.1,44009,1457597808.85,114222.63,0,0,0,32918.004,32918,32918,.000073345676,0,0,0
G0900130,893103845.358,9003,1944087722.5,11452876,163.59259,165.6375,266.21915,13251,13251,13250.999,.012823678,.012345679,.0125,.020090496
G0900130,893103845.358,9003,1944087722.5,2.2047429,0,0,0,13251,13251,13250.999,2.4686300e-09,0,0,0
G0900130,893103845.358,9011,1999374588.73,125690.58,0,0,0,13251,13251,13250.999,.00014073456,0,0,0
G0900130,893103845.358,9013,1080357182.73,881468224,13087.407,13085.362,12984.78,13251,13251,13250.999,.98697168,.98765433,.98750001,.97990954
G0900130,893103845.358,9013,1080357182.73,.026784457,0,0,0,13251,13251,13250.999,2.9990305e-11,0,0,0
G0900130,893103845.358,9015,1349956508.73,806.77332,0,0,0,13251,13251,13250.999,9.0333651e-07,0,0,0
