gisjoin_1800,cnty_area_1800,gisjoin_2020,cnty_area_2020,cnty_part_area,cnty_part_pop_m2,cnty_part_pop_m3,cnty_part_pop_m4,cnty_pop_m2,cnty_pop_m3,cnty_pop_m4,m1_weight,m2_weight,m3_weight,m4_weight
G0900110,1557319128.1,9015,1349956508.73,9012.572006189999,0,0,0,34883,34883,34883,5.7872353e-06,0,0,0
G0900110,1557319128.1,44009,1457597808.85,114222.627114,0,0,0,34883,34883,34883,.000073345676,0,0,0
G0900130,893103845.358,9003,1944087722.5,2.20474284295,0,0,0,14319,14319,14318.999,2.4686300e-09,0,0,0
G0900130,893103845.358,9003,1944087722.5,11452876.2633,176.77779,178.9875,287.67581,14319,14319,14318.999,.012823679,.01234568,.0125,.020090498
G0900130,893103845.358,9011,1999374588.73,125690.577204,0,0,0,14319,14319,14318.999,.00014073456,0,0,0
G0900130,893103845.358,9013,1080357182.73,.0267844579344,0,0,0,14319,14319,14318.999,2.9990305e-11,0,0,0
G0900130,893103845.358,9013,1080357182.73,881468222.3099999,14142.223,14140.013,14031.323,14319,14319,14318.999,.98697168,.98765433,.98750001,.97990948
G0900130,893103845.358,9015,1349956508.73,806.773291647,0,0,0,14319,14319,14318.999,9.0333651e-07,0,0,0
G0900130,893103845.358,25013,1642446420.35,45749.6351234,0,0,0,14319,14319,14318.999,.000051225437,0,0,0
G0900130,893103845.358,25027,4089993832.4,10494.92687,0,0,0,14319,14319,14318.999,.000011751071,0,0,0
G0900150,1790216082.13,9011,1999374588.73,259355921.446,4096.9961,4027.1665,4310.1084,28222.002,28222,28221.998,.14487408,.14517029,.14269599,.15272158
G0900150,1790216082.13,9013,1080357182.73,180946755.026,2962.4434,2944.7661,2925.6775,28222.002,28222,28221.998,.10107537,.10496929,.10434293,.10366656
G0900150,1790216082.13,9015,1349956508.73,1349769592,21162.563,21250.068,20986.213,28222.002,28222,28221.998,.75397021,.74986041,.7529611,.74361187
G0900150,1790216082.13,25027,4089993832.4,37573.6560219,0,0,0,28222.002,28222,28221.998,.000020988336,0,0,0
G0900150,1790216082.13,44003,487274885.022,97322.30240270001,0,0,0,28222.002,28222,28221.998,.000054363438,0,0,0
G0900150,1790216082.13,44007,1128422719.18,2486.87337289,0,0,0,28222.002,28222,28221.998,1.3891471e-06,0,0,0
G0900150,1790216082.13,44009,1457597808.85,6434.99581826,0,0,0,28222.002,28222,28221.998,3.5945359e-06,0,0,0
G1000010,1525633963.44,10001,2067668239.6,1524605685.83,19541.195,19538.699,19538.768,19554,19554,19554,.99932599,.99934518,.99921751,.99922103
G1000010,1525633963.44,10003,1279523752.38,214452.987105,0,0,0,19554,19554,19554,.00014056648,0,0,0
G1000010,1525633963.44,10005,3098719463.75,521629.660678,0,0,0,19554,19554,19554,.00034191011,0,0,0
G1000010,1525633963.44,24011,844127337.957,153783.260865,0,0,0,19554,19554,19554,.00010079958,0,0,0
G1000010,1525633963.44,24029,1070818785.42,18645.0751614,0,0,0,19554,19554,19554,.000012221199,0,0,0
G1000010,1525633963.44,24035,1322693987.06,119766.623705,12.805501,15.300469,15.232819,19554,19554,19554,.000078502853,.00065487885,.00078247261,.00077901292
G1000030,1144705776.61,10001,2067668239.6,23281617.5454,528.81317,0,0,25360.998,25361,25361,.020338517,.020851433,0,0
G1000030,1144705776.61,10003,1279523752.38,1121240986.46,24810.15,25336.707,25336.529,25360.998,25361,25361,.97950149,.97827971,.99904209,.99903512
G1000030,1144705776.61,24015,1082193864.46,141653.676688,22.033882,24.292145,24.470556,25360.998,25361,25361,.00012374679,.00086880976,.00095785438,.00096488924
G1000030,1144705776.61,24029,1070818785.42,29808.422082,0,0,0,25360.998,25361,25361,.000026040248,0,0,0
G1000030,1144705776.61,34033,964904892.725,659.602761533,0,0,0,25360.998,25361,25361,5.7622037e-07,0,0,0
G1000030,1144705776.61,42029,1966318045.86,11050.914942,0,0,0,25360.998,25361,25361,9.6539352e-06,0,0,0
G1000050,2461099202.75,10001,2067668239.6,229817.045692,0,0,0,19357.998,19358,19358,.000093379836,0,0,0
G1000050,2461099202.75,10005,3098719463.75,2460513399.62,19357.998,19358,19358,19357.998,19358,19358,.999762,1,1,1
G1000050,2461099202.75,24011,844127337.957,31345.7024272,0,0,0,19357.998,19358,19358,.000012736465,0,0,0
G1000050,2461099202.75,24045,1036531873.6,219131.827885,0,0,0,19357.998,19358,19358,.000089038193,0,0,0
G1000050,2461099202.75,24047,1799687844.58,105508.505539,0,0,0,19357.998,19358,19358,.000042870481,0,0,0
G1100015,242052711.138,11001,177025868.25,159483206.694,0,0,0,4971.0005,4971.0005,4971,.65887803,0,0,0
G1100015,242052711.138,24031,1312879900.55,18909.7598251,0,0,0,4971.0005,4971.0005,4971,.000078122488,0,0,0
G1100015,242052711.138,24033,1291980028.02,110258.536219,0,0,0,4971.0005,4971.0005,4971,.00045551456,0,0,0
G1100015,242052711.138,51013,67606554.77949999,66932085.4525,0,0,0,4971.0005,4971.0005,4971,.27651864,0,0,0
G1100015,242052711.138,51059,1052811230.45,101178.161527,0,0,0,4971.0005,4971.0005,4971,.00041800053,0,0,0
G1100015,242052711.138,51510,39751342.7364,15407072.096,4971.0005,4971.0005,4971,4971.0005,4971.0005,4971,.063651726,1,1,1
G1300290,1269513283.48,13029,1177035566.96,1156111652.22,2590.5554,2836.0002,2836,2836,2836.0002,2836,.91067314,.91345394,1,1
G1300290,1269513283.48,13031,1783563080.69,31071.7225589,0,0,0,2836,2836.0002,2836,.000024475303,0,0,0
G1300290,1269513283.48,13051,1631625265.58,112372279.381,245.44453,0,0,2836,2836.0002,2836,.088516034,.086546026,0,0
G1300290,1269513283.48,13103,1250714160,587921.809077,0,0,0,2836,2836.0002,2836,.00046310804,0,0,0
G1300290,1269513283.48,13109,483990042.388,165174.535531,0,0,0,2836,2836.0002,2836,.00013010856,0,0,0
G1300290,1269513283.48,13179,1560539321.38,245181.975795,0,0,0,2836,2836.0002,2836,.00019313069,0,0,0
G1300310,2207690595.11,13029,1177035566.96,7017.12619137,0,0,0,1913,1913.0001,1913,3.1784916e-06,0,0,0
G1300310,2207690595.11,13031,1783563080.69,1781280702.21,1540.8109,1514.0114,1520.8162,1913,1913.0001,1913,.80685252,.80544221,.79143298,.79499018
G1300310,2207690595.11,13043,644539036.656,.0328621865481,0,0,0,1913,1913.0001,1913,1.4885322e-11,0,0,0
G1300310,2207690595.11,13043,644539036.656,170253065.213,150.09024,160.96126,157.97127,1913,1913.0001,1913,.077118173,.078458048,.084140748,.082577765
G1300310,2207690595.11,13103,1250714160,652972.914142,0,0,0,1913,1913.0001,1913,.00029577193,0,0,0
G1300310,2207690595.11,13107,1787568595.78,8480839.072480001,7.8081632,8.779705,8.2474642,1913,1913.0001,1913,.0038414979,.0040816325,.0045894952,.0043112724
G1300310,2207690595.11,13109,483990042.388,162009.007877,0,0,0,1913,1913.0001,1913,.000073383926,0,0,0
