gisjoin_1810,cnty_area_1810,gisjoin_2020,cnty_area_2020,cnty_part_area,cnty_part_pop_m2,cnty_part_pop_m3,cnty_part_pop_m4,cnty_part_pop_m5,cnty_part_pop_m6,cnty_pop_m2,cnty_pop_m3,cnty_pop_m4,cnty_pop_m5,cnty_pop_m6,m1_weight,m2_weight,m3_weight,m4_weight,m5_weight,m6_weight
G0900010,1673889466.31,9001,2167945188.69,1673778978.55,40949.996,40950.004,40950,196,206,40949.996,40950.004,40950,196,206,.99993402,1,1,1,1,1
G0900010,1673889466.31,9001,2167945188.69,.310478771363,0,0,0,0,0,40949.996,40950.004,40950,196,206,1.8548343e-10,0,0,0,0,0
G0900010,1673889466.31,9005,2446473536.04,9098.28446563,0,0,0,0,0,40949.996,40950.004,40950,196,206,5.4354155e-06,0,0,0,0,0
G0900010,1673889466.31,9009,2232747846.59,.0786298378829,0,0,0,0,0,40949.996,40950.004,40950,196,206,4.6974331e-11,0,0,0,0,0
G0900010,1673889466.31,9009,2232747846.59,17576.0295096,0,0,0,0,0,40949.996,40950.004,40950,196,206,.000010500114,0,0,0,0,0
G0900010,1673889466.31,36027,2137634705.04,1145.47979378,0,0,0,0,0,40949.996,40950.004,40950,196,206,6.8432223e-07,0,0,0,0,0
G0900010,1673889466.31,36079,637450333.517,10484.9065275,0,0,0,0,0,40949.996,40950.004,40950,196,206,6.2637987e-06,0,0,0,0,0
G0900010,1673889466.31,36119,1295206187.06,72183.64235540001,0,0,0,0,0,40949.996,40950.004,40950,196,206,.000043123302,0,0,0,0,0
G0900030,1943959499.02,9003,1944087722.5,.017510394439,0,0,0,0,0,44732.996,44733,44733.004,137,143,9.0075924e-12,0,0,0,0,0
G0900030,1943959499.02,9003,1944087722.5,1943333679.89,44711.922,44711.344,44718.75,137,143,44732.996,44733,44733.004,137,143,.99967808,.99952888,.99951589,.99968135,1,1
G0900030,1943959499.02,9005,2446473536.04,108295.448925,0,0,0,0,0,44732.996,44733,44733.004,137,143,.000055708697,0,0,0,0,0
G0900030,1943959499.02,9005,2446473536.04,.0650350811329,0,0,0,0,0,44732.996,44733,44733.004,137,143,3.3454958e-11,0,0,0,0,0
G0900030,1943959499.02,9007,1137173043.29,8093.81204002,0,0,0,0,0,44732.996,44733,44733.004,137,143,4.1635703e-06,0,0,0,0,0
G0900030,1943959499.02,9009,2232747846.59,97318.5430548,0,0,0,0,0,44732.996,44733,44733.004,137,143,.000050062023,0,0,0,0,0
